taxon.scientificNameWithoutAuthorship
"Anthurium lucidum"
"Peperomia bradei"
"Dalechampia granadilla"
"Cybianthus barrosoanus"
"Octomeria helvola"
"Jacaranda crassifolia"
"Struthanthus maricensis"
"Peperomia arbuscula"
"Phyllanthus itatiaiensis"
"Piper niteroiense"
"Prosthechea serpentilingua"
"Bignonia costata"
"Pleiochiton micranthum"
"Neoregelia camorimiana"
"Acalypha pohliana"
"Octomeria sarcophylla"
"Cynanchum brasiliense"
"Sarcoglottis veyretiae"
"Justicia polita"
"Neoregelia macwilliamsii"
"Ditassa maricaensis"
"Zygostates ovatipetala"
"Octomeria multiflora"
"Neoregelia macahensis"
"Aristolochia raja"
"Aphelandra rigida"
"Piper rumicifolium"
"Psychotria lindleyana"
"Dendropanax trilobus"
"Wunderlichia insignis"
"Struthanthus pentamerus"
"Dasyphyllum leptacanthum"
"Tillandsia sucrei"
"Vriesea goniorachis"
"Neoregelia longipedicellata"
"Miconia gilva"
"Brasiliorchis polyantha"
"Miconia penduliflora"
"Neoregelia petropolitana"
"Ilex schwackeana"
"Anathallis spannageliana"
"Neoregelia tenebrosa"
"Miltonia flava"
"Hapalorchis cymbirostris"
"Nidularium mangaratibense"
"Anthurium nitidulum"
"Prescottia spiranthophylla"
"Trimezia organensis"
"Struthanthus armandianus"
"Herpetacanthus delicatus"
"Nidularium apiculatum"
"Dichorisandra odorata"
"Piper saldanhai"
"Rhynchospora luetzelburgiana"
"Dioscorea oppositiflora"
"Tibouchina virgata"
"Ilex longipetiolata"
"Peperomia pubipeduncula"
"Peperomia humifusa"
"Neoregelia carinata"
"Baccharis ciliata"
"Miconia dichroa"
"Endlicheria balsamea"
"Neoregelia eltoniana"
"Lankesterella parvula"
"Encyclia viridiflora"
"Neoregelia nevaresii"
"Acalypha aspericocca"
"Mikania alexandreae"
"Aniba pedicellata"
"Staurogyne euryphylla"
"Tibouchina thereminiana"
"Tibouchina axillaris"
"Dasyphyllum cryptocephalum"
"Pleiochiton glaziovianum"
"Barbosella macaheensis"
"Ficus nevesiae"
"Stevia organensis"
"Vriesea brassicoides"
"Senecio arctiifolius"
"Monsanima tinguaensis"
"Leandra mouraei"
"Neoregelia abendrothae"
"Piper weddellii"
"Pabstiella purpurea"
"Hydrocotyle ulei"
"Hydrocotyle bradei"
"Huberia triplinervis"
"Dichorisandra oxypetala"
"Behuria mouraei"
"Dichorisandra picta"
"Bisglaziovia behurioides"
"Anemia candidoi"
"Mollinedia stenophylla"
"Huberia parvifolia"
"Isoetes organensis"
"Pteris congesta"
"Doryopteris tijucana"
"Anthurium sakuraguianum"
"Leandra niangaeformis"
"Leandra tetragona"
"Leandra sessiliflora"
"Thelypteris refracta"
"Philodendron luisae"
"Apochloa tijucae"
"Chusquea sclerophylla"
"Dichanthelium cucaense"
"Dichanthelium petropolitanum"
"Meriania longipes"
"Renvoizea glaziovii"
"Ouratea polita"
"Magdalenaea limae"
"Vriesea leptantha"
"Dendropanax langsdorfii"
"Rinorea laevigata"
"Centroglossa greeniana"
"Stylogyne sordida"
"Neoregelia leucophoea"
"Austrocritonia rosea"
"Miconia rabenii"
"Nidularium fradense"
"Vriesea costae"
"Eurystyles lobata"
"Rodriguezia bifolia"
"Piper lundii"
"Miconia gigantea"
"Stephanopodium sessile"
"Leandra multisetosa"
"Stevia verticillata"
"Hapalorchis panduratus"
"Vriesea atrococcinea"
"Neomarica longifolia"
"Fridericia elegans"
"Stylogyne araujoana"
"Lytocaryum weddellianum"
"Ilex virgata"
"Acalypha ampliata"
"Barrosoa viridiflora"
"Aspidosperma ingratum"
"Sorocea carautana"
"Cyclopogon venustus"
"Anthurium augustinum"
"Tillandsia grazielae"
"Vriesea pastuchoffiana"
"Neoregelia coimbrae"
"Miconia cinerea"
"Pabstiella gracilicaulis"
"Anthurium lhotzkyanum"
"Dioscorea bradei"
"Nidularium altimontanum"
"Neoregelia paratiensis"
"Neomarica itatiaica"
"Pabstiella crassicaulis"
"Pleiochiton magdalenense"
"Neoregelia rubrovittata"
"Pelexia mouraei"
"Anthurium aduncum"
"Nectandra spicata"
"Stevia dubia"
"Symplocos organensis"
"Sebastiania pteroclada"
"Strychnos jacarepiensis"
"Euphorbia laevigata"
"Graphistylis cuneifolia"
"Miconia eichleri"
"Tibouchina maximiliana"
"Nidularium organense"
"Duguetia microphylla"
"Eurystyles rutkowskiana"
"Stelis palmeiraensis"
"Pygmaeorchis brasiliensis"
"Pabstiella spathuliglossa"
"Coussarea biflora"
"Vriesea thyrsoidea"
"Piper rioense"
"Piptocarpha verticillata"
"Nidularium itatiaiae"
"Tillandsia carminea"
"Trigynaea axilliflora"
"Symplocos glaziovii"
"Pabstiella elegantula"
"Campomanesia lundiana"
"Coccoloba rigida"
"Miconia subvernicosa"
"Austrocritonia taunayana"
"Pabstiella calcarata"
"Oxypetalum costae"
"Neoregelia correia-araujoi"
"Vriesea lidicensis"
"Adenocalymma bullatum"
"Tibouchina alata"
"Neoregelia fluminensis"
"Euphorbia sabulicola"
"Acianthera subrotundifolia"
"Acianthera bidentata"
"Clidemia raddiana"
"Huberia minor"
"Doryopteris magdalenensis"
"Stenogrammitis luetzelburgii"
"Leandra breviflora"
"Aeschynomene bradei"
"Salvia rivularis"
